COGNATE PAIRS

ROMANIAN             FRENCH               
recensent            recensent            
recepțiune           récepteur            
recte                recteur              
rectum               rectum               
refracțiune          réfraction           
regină               reine                
regulat              régulière            
religiune            religion             
reparațiune          réparation           
repetițiune          répétition           
reprezentațiune      représentation       
reproba              réprouver            
repulsiune           répulsion            
reputațiune          réputation           
resecțiune           résection            
respirațiune         respiration          
restituțiune         restitution          
restricțiune         restriction          
retrogradațiune      rétrogradation       
revelațiune          révélation           
reviziune            révision             
revulsiune           révulsion            
rezolva              résoudre             
rezolvat             résolu               
ridicul              ridicule             
rînced               rance                
rosmarin             romarin              
rotat                rotation             
rozmarin             romarin              
sacrosanct           sacro-saint          
saducheu             sadducéen            
salmastru            saumâtre             
saloon               saloon               
salvare              sauver               
salvat               sauvé                
salvie               sauge                
sămânță              semence              
sân                  sein                 
sânge                sang                 
sângera              saigner              
săptămână            semaine              
saramură             saumure              
satisfacțiune        satisfaction         
saturațiune          saturation           
scală                échelle              
secol                siècle               
sec                  sécher               
senilia              sénile               
seninătate           sérénité             
sensual              sensuelle            
separațiune          séparation           
servitute            servitude            
silvic               forêt                
soarte               sort                 
spectacul            spectacle            
spera                espérer              
sperat               espéré               
stabili              établir              
stipulațiune         stipulation          
strangula            étrangler            
strangulat           étranglée            
stupefacțiune        stupéfaction         
stupor               stupeur              
tâmplă               temple               
tibie                tibia                
trăda                trahir               
transfuziune         transfusion          
transitoriŭ          transitoire          
transmigrațiune      transmigration       
trepidațiune         trépidation          
tribulațiune         tribulation          
tricliniŭ            triclinium           
turb                 tourbe               
tuși                 tousser              
tușit                toux                 
tutor                tuteur               
twill                twill                
umed                 humide               
umezi                humide               
una                  une                  
unire                union                
unu                  une                  
unul                 une                  
vagină               vagin                
vinde                vendre               
vânt                 vent                 
vendetta             vendetta             
veneric              vénérienne           
veni                 venir                
venie                venir                
ventilațiune         ventilation          
versificațiune       versification        
verucă               verrue               
veșmînt              vêtement             
vibrațiune           vibration            
virgin               vierge               
virgină              vierge               
vivificant           vivifiée             
vocațiune            vocation             
zămisli              concevoir            
zeie                 déesse               
zeitate              déité                
zeŭ                  dieu                 
zgură                scories              
