COGNATE PAIRS

ROMANIAN             PORTUGUESE           
adeziune             adesão               
adiacent             adjacente            
adiție               adição               
adițional            adicional            
aditiv               aditivo              
adjacent             adjacente            
adjectiv             adjetivo             
adjutant             ajudante             
adjuvant             adjuvante            
administrație        administração        
administrațiune      administração        
administrativ        administrativo       
administrator        administrador        
admira               admirar              
admirație            admiração            
admirațiune          admiração            
admirator            admirador            
admite               admitir              
admisiune            admissão             
admonesta            admoestar            
adnat                adnat                
adolescent           adolescente          
adolescență          adolescentes         
adopta               adotar               
adopție              adoção               
adoptiv              adotivo              
adora                adorar               
adorabil             adorável             
adorare              adorar               
adorator             adorador             
aducțiune            adução               
aductor              adutor               
adulație             adulação             
adulațiune           adulação             
adult                adulto               
adulter              adultério            
adultera             adúltera             
adulterin            adulterino           
adulteriŭ            adulteriŭ            
advecție             advecção             
advent               advento              
adventism            adventism            
adventist            adventista           
adventizm            adventizm            
adverb               advérbio             
adverbial            adverbial            
advers               adverso              
adversar             adversário           
adversară            adversário           
adversativ           adversativo          
adversitate          adversidade          
aediculă             edícula              
aerobuz              aerobuz              
aerodinamic          aerodinâmico         
aeronaut             aeronauta            
aeronaută            aeronauta            
aeronavă             aeronave             
aeroscop             aeroscope            
aerosol              aerossol             
aerostat             aeróstato            
aerostatic           aerostático          
aerostatică          aerostática          
aerostație           aerostação           
afabil               afável               
afabilitate          afabilidade          
afecta               afetar               
afectare             afetando             
afectație            afetação             
afecțiune            afeição              
afectiv              afetivo              
afectuos             afetuoso             
afeliŭ               afélio               
aferent              aferente             
afereză              aférese              
aficionado           aficionado           
afinitate            afinidade            
afirmație            afirmação            
afirmațiune          afirmação            
afirmativ            afirmativo           
afix                 afixo                
aflicțiune           aflições             
afluent              afluente             
afluență             afluência            
afonie               afonia               
aforism              aforismo             
african              africano             
afrodiziac           afrodisíaco          
aftă                 aftas                
afuziune             afusão               
agavă                agave                
agave                agave                
agent                agente               
agil                 ágil                 
agile                ágil                 
agilitate            agilidade            
agitație             agitação             
agitațiune           agitação             
agitato              agitato              
agitatoare           agitadores           
agitator             agitador             
aglomera             aglomerado           
aglutinant           aglutinante          
agogică              agógicas             
agonie               agonia               
agonist              agonista             
agonistic            agonístico           
agonistică           agonístico           
agorafobie           agorafobia           
agrafie              agrafia              
agravant             agravante            
agravare             agravamento          
agregare             agregação            
agresiune            agressão             
agresiv              agressivo            
agresor              agressor             
agricol              agrícola             
agricola             agrícola             
agricultoare         agricultor           
agricultor           agricultor           
agricultură          agricultura          
agrimensor           agrimensor           
agripnie             agripnie             
agrologie            agrology             
agronom              agrônomo             
agronometrie         agronometrie         
agronomic            agronômico           
agronomie            agronomia            
airbag               airbag               
airbus               airbus               
aisberg              icebergue            
al                   o                    
alabastru            alabastro            
alanină              alanina              
alarmă               alarme               
alarmare             alarmante            
alarmat              alarmado             
albedo               albedo               
albugo               albugo               
album                álbum                
albumeală            álbuns               
albumină             albumina             
albuminurie          albuminúria          
alcarazas            alcarazas            
aldehidă             aldeído              
aleatoriu            aleatório            
alegație             alegação             
alegoric             alegórico            
alegorie             alegoria             
alergic              alérgico             
alergie              alergia              
aleurometru          aleurometru          
alexandrin           alexandrino          
alfa                 alfa                 
alfabet              alfabeto             
alfenid              alfenid              
algă                 alga                 
algebră              álgebra              
algic                álgico               
alia                 aliado               
alianță              aliança              
aliat                aliado               
alibi                álibi                
aliena               alienar              
alienat              alienado             
alienist             alienista            
alienistă            alienista            
aliment              alimento             
alios                alios                
aliterație           aliteração           
aliterațiune         aliteração           
alizarină            alizarina            
allegro              allegro              
aloe                 aloés                
aloetic              aloetic              
alohton              alóctone             
alomorf              alomorf              
alopatie             alopatia             
alopatric            alopátrico           
alopecie             alopecia             
aloplastică          alloplastic          
alotrio              alotrio              
alotriofagie         alotriofagie         
alotrofic            alotrofic            
alotropie            alopátrico           
alpaca               alpaca               
alpin                alpino               
alpinist             alpinista            
alpinistă            alpinista            
altera               alterar              
alterație            alteração            
alteritate           alteridade           
alternativă          alternativa          
altul                outro                
altruism             altruísmo            
altruist             altruísta            
aluminiu             alumínio             
aluminotermie        aluminothermics      
alungi               alongar              
alunit               alunite              
aluvionar            aluvial              
aluvionare           aluvial              
alveolă              alvéolo              
amalgam              amálgama             
amanita              amanita              
amant                amante               
amantă               amante               
amar                 amargo               
amarant              amaranto             
amator               amador               
amauroză             amaurose             
ambalare             embalagem            
ambasadă             embaixada            
ambasador            embaixador           
ambiant              ambiente             
ambidextru           ambidestro           
ambigen              ambigen              
ambiguu              ambíguo              
ambiguitate          ambiguidade          
ambiție              ambição              
ambițios             ambicioso            
ambițiune            ambição              
ambră                âmbar                
ambrozie             ambrósia             
ambulanță            ambulância           
ambulatoriu          ambulatório          
ameliorare           melhoria             
amenitate            amenidade            
amenomanie           amenomanie           
ametist              ametista             
amfibologie          anfibologia          
amfimacru            amfimacru            
amfiprostil          amfiprostil          
amfiteatru           anfiteatro           
amforă               ânfora               
amiant               amianto              
amibă                ameba                
amic                 amigo                
amidol               amidol               
amigdală             amígdala             
amigdalectomie       amigdalectomia       
amigdalotom          amigdalotom          
amnicol              amnicol              
amnios               amnion               
amonit               amonite              
amor                 amor                 
amorf                amorfo               
amovibilitate        amovibilidade        
ampelologie          ampelologie          
ampenaj              empenagem            
amper                ampére               
amplifica            amplificar           
amplificator         amplificador         
amplu                amplo                
amputa               amputar              
amputație            amputação            
amputațiune          amputação            
amulet               amuleto              
amuletă              amuleto              
ana                  ana                  
anabaptism           anabatismo           
anabolism            anabolismo           
anacolut             anacolut             
anacuzie             anacuzie             
anadiploză           anadiploză           
anafilaxie           anafilaxia           
anaforă              anáfora              
anageneză            anageneză            
anagogic             anagógica            
anahoret             anacoreta            
anahoretă            anacoreta            
anale                anais                
analepsie            analepsie            
analeptic            analéptico           
analgezic            analgésico           
analgezie            analgesia            
analist              analista             
analistă             analista             
analitic             analítico            
analiză              análise              
analog               análogo              
analogic             analógico            
analogie             analogia             
analogon             analogon             
anamneză             anamnese             
anamorfoză           anamorfose           
anapest              anapesto             
anarhie              anarquia             
anartrie             anartrie             
anasarcă             anasarca             
anastatic            anastáticas          
anastomoză           anastomoses          
anatemă              anátema              
anatocism            anatocismo           
anatomie             anatomia             
ancestral            ancestral            
ancoră               âncora               
ancoraj              ancoragem            
andabat              andabat              
andosa               endossar             
andosament           endosso              
androceu             androceu             
androfilie           androfilie           
androfobie           androfobie           
android              andróide             
andropauză           andropausa           
anecdotă             anedota              
anemonă              anêmona              
anemotrop            anemotrop            
anestezie            anestesia            
anevrism             aneurisma            
anex                 anexo                
anexă                anexo                
anexionism           anexionism           
anexiune             anexação             
anfibologie          anfibologie          
angelic              angélico             
angelică             angélico             
angelus              angelus              
anghilă              enguia               
anghină              angina               
angină               angina               
anglican             anglicano            
anglicism            anglicismo           
angrenaj             engrenagem           
angular              angular              
angusticlav          angusticlav          
anihila              aniquilar            
anima                animar               
animal               animal               
animalcul            animalcul            
animalitate          animalidade          
animație             animação             
animațiune           animação             
animism              animismo             
animist              animista             
animizm              animizm              
animozitate          animosidade          
anis                 anis                 
anison               anis                 
aniversar            aniversário          
aniversară           aniversário          
aniversare           aniversário          
anizofil             anizofil             
anizogamie           anizogamie           
anizometropie        anizometropie        
anoftalmie           anoftalmia           
anomal               anômalo              
anomalie             anomalia             
anonim               anônimo              
anopsie              anopsie              
anorexie             anorexia             
anormal              anormal              
anosmie              anosmia              
anoxemie             anoxemie             
antagonic            antagônico           
antagonism           antagonismo          
antanaclază          antanaclază          
antanagogă           antanagogă           
ante                 ante                 
antecedent           antecedente          
antecliză            antecliză            
antemeridian         antemeridiano        
antepenultim         antepenúltimo        
anteră               antera               
anterior             anterior             
anteză               antese               
anti                 anti                 
antic                antigo               
antică               antigo               
anticar              antiquário           
antichitate          antiguidade          
anticiclon           anticiclone          
anticipație          antecipação          
anticipațiune        antecipação          
antidot              antídoto             
antigraf             antigraf             
antilogie            antilogia            
antilopă             antílope             
antimetalepsă        antimetalepsă        
antimetateză         antimetateză         
antimoniu            antimônio            
antinomie            antinomia            
antiparastază        antiparastază        
antipatie            antipatia            
antipirină           antipirina           
antipod              antípoda             
antiqua              antiqua              
antirabic            raiva                
antisepsie           anti-sepsia          
antispasmodic        antiespasmódico      
antistrofă           antistrophe          
antiteză             antítese             
antologie            antologia            
antonomasie          antonomasie          
antonomază           antonomásia          
antorism             antorism             
antrax               antraz               
antricot             entrecosto           
antropo              antropológica        
antropoid            antropóide           
antropologie         antropologia         
antropometrie        antropometria        
antropopitec         antropopitec         
antropozoic          antropozoic          
antru                antru                
anual                anualmente           
anuală               anual                
anunța               anunciar             
anunțare             anunciando           
anus                 ânus                 
anxietate            ansiedade            
aorist               aoristo              
aortă                aorta                
apagogic             apagogic             
apanagiu             apanagiu             
aparență             aparência            
apartament           apartamento          
apatie               apatia               
apeduct              aqueduto             
apela                apelar               
apelațiune           apelação             
apendice             apêndice             
apendicular          apendicular          
aperitiv             aperitivo            
apertură             abertura             
apetit               apetite              
apetiție             apetite              
apetițiune           apetite              
apical               apical               
apicoliză            apicoliză            
apicultoare          apicultor            
apicultor            apicultor            
apicultură           apicultura           
apiol                apiol                
aplauda              aplaudir             
aplaudare            aplaudir             
aplauze              aplauso              
aplică               aplicar              
aplicație            aplicação            
aplicațiune          aplicação            
apocalips            apocalipse           
apocatastază         apocatastasis        
apocopă              apócope              
apocrif              apócrifo             
apodioxis            apodioxis            
apofiză              apófise              
apofonie             apofonia             
apolog               apólogo              
apologetic           apologético          
apologetică          apologética          
apoplectic           apoplético           
apoplexie            apoplexia            
aporie               aporia               
aposiopeză           aposiopeză           
apostat              apóstata             
apostazie            apostasia            
apostilă             apostila             
apostolat            apostolado           
apostolic            apostólico           
apostrof             apóstrofo            
apostrofă            apóstrofo            
apoteoză             apoteose             
apoteozare           apoteozare           
apoziție             aposição             
apozițiune           aposição             
aprecia              apreciar             
apreciat             apreciado            
aprehenda            aprehenda            
aprehensiune         apreensão            
aprețuire            apreţuire            
april                abril                
apriorism            apriorismo           
apriorist            apriorísticos        
aproba               aprovar              
apropria             apropriaram          
aproximare           aproximação          
arab                 árabe                
arabă                árabe                
arabil               arável               
aratoriu             aratoriu             
arbitra              arbitrar             
arbitraj             arbitragem           
arbitral             arbitral             
arbitrar             arbitrário           
arbitru              árbitro              
arborescent          arborescente         
arboricid            arboricid            
arboricultură        arboricultura        
arbovirus            arbovírus            
arbuscul             arbuscul             
arbust               arbusto              
arcă                 arca                 
arcanul              arcano               
archebuză            arcabuz              
arcosolium           arcossólio           
arctic               ártico               
arctica              ártico               
ardent               ardente              
ardezie              ardósia              
ardoare              ardor                
arenă                arena                
areolă               aréola               
areometru            areômetro            
areopag              areópago             
argentifer           argentífero          
argilă               argila               
argilifer            argilifer            
argilos              argiloso             
arginină             arginina             
argon                argão                
argonaut             argonauta            
argument             argumento            
argumenta            argumentar           
argumentație         argumentação         
arguție              arguta               
arhaic               arcaico              
arhipelag            arquipélago          
arhitect             arquiteto            
arhitectă            arquiteto            
arhitectonic         arquitetônico        
arhitectură          arquitetura          
arhitravă            arquitrave           
arhivă               arquivo              
arhivoltă            arquivoltas          
arici                ouriço               
arid                 árido                
arioso               arioso               
aristă               aresta               
aristocrație         aristocracia         
aritenoid            aritenóide           
aritmetică           aritmética           
aritmogrif           aritmogrif           
aritmologie          aritmologie          
aritmomanie          aritmomanie          
aritmometru          aritmômetro          
arlechin             arlequim             
armă                 arma                 
armat                armado               
armator              armador              
armătură             armadura             
armonie              harmonia             
armonic              harmônico            
armoniu              harmônio             
armorial             armorial             
armură               armadura             
arnică               arnica               
aroga                arrogar-se           
arogant              arrogante            
aroganță             arrogância           
arpegiu              arpejo               
arsenal              arsenal              
arsenic              arsênico             
arsenicism           arsenicismo          
artă                 arte                 
arteră               artéria              
arterial             arterial             
artezian             artesiano            
articol              artigo               
articula             articular            
articular            articular            
articulat            articular            
articulație          articulação          
articulațiune        articulação          
artificial           artificial           
artificiu            artifício            
artilerie            artilharia           
artizan              artesão              
artizanat            artesanato           
artralgie            artralgia            
artrită              artrite              
artritic             artrítico            
artrodinie           artrodinie           
artrologie           artrologie           
artropatie           artropatia           
artroplastie         artroplastia         
artropod             artrópode            
artrotomie           artrotomie           
as                   ás                   
asasin               assassino            
asasină              assassino            
asasinat             assassinato          
ascendent            ascendente           
ascensiune           ascensão             
ascidie              ascídia              
asclepiad            asclepiadea          
asclepiade           asclepiadea          
asclepiadul          asclepiadea          
ascultat             escutou              
asesor               assessor             
asfalt               asfalto              
asfixie              asfixia              
asiatic              asiático             
asiduitate           assiduidade          
asiduu               assiduamente         
asimetrie            assimetria           
asimila              assimilar            
asimilație           assimilação          
asimilațiune         assimilação          
asimptotă            assimptota           
asindeton            asindeton            
asonant              assonante            
asparagus            espargos             
aspect               aspecto              
aspira               aspirar              
aspirant             aspirante            
aspirantă            aspirante            
aspirat              aspirar              
assai                assai                
assembler            assembler            
ăsta                 este                 
astatin              astato               
astatiniu            astato               
asteism              asteism              
astenia              astenia              
astenie              astenia              
astenopie            astenopia            
aster                áster                
asterisc             asterisco            
asteroid             asteróide            
astmă                asma                 
astmatic             asmático             
astragal             astrágalo            
astral               astral               
astrolog             astrólogo            
astrologă            astrologia           
astrologic           astrológico          
astrologie           astrologia           
astrometrie          astrometry           
astronaut            astronauta           
astronaută           astronauta           
astronautică         astronáutica         
astronom             astrônomo            
astronomă            astronomia           
astronomic           astronômico          
astronomie           astronomia           
astroscop            astroscop            
astuție              astuto               
astuțios             astuţios             
asuda                suar                 
asudat               suado                
asuma                assumir              
atare                tal                  
atavism              atavismo             
ataxie               ataxia               
ateu                 ateu                 
ateism               ateísmo              
ateist               ateístico            
atelană              atelană              
atelane              atelane              
atelectazie          atelectasia          
atenție              atenção              
atenuant             atenuantes           
atenuat              atenuar              
aterom               ateroma              
atesta               atestar              
atestațiune          atestação            
aticism              aticismo             
atitudine            atitude              
atlet                atleta               
atletă               atleta               
atletic              atlético             
atmo                 atmosférico          
atmofil              atmofil              
atmoliză             atmoliză             
atol                 atol                 
atom                 átomo                
atomism              atomismo             
atomist              atomista             
atomistic            atomístico           
atomistică           atomístico           
atotputernic         onipotente           
atotputernicie       onipotência          
atotputernicul       onipotente           
atracție             atração              
atracțiune           atração              
atrepsie             atrepsie             
atribui              atribuir             
atribut              atributo             
atribuție            atribuição           
atribuțiune          atribuição           
atrio                atrio                
atriu                átrio                
atrium               átrio                
atroce               atroz                
atrocitate           atrocidade           
atrofie              atrofia              
atropină             atropina             
audia                ouvir                
audibil              audível              
audiție              audição              
auditor              auditor              
augmenta             aumentar             
augmentare           aumento              
august               agosto               
augusta              augusta              
augustal             agosto               
aulodie              aulodie              
aură                 aura                 
auricular            auricular            
aurifer              aurífero             
auripigment          auripigment          
auroră               aurora               
ausculta             ausculta             
auscultație          auscultação          
auscultațiune        auscultação          
auspiciu             auspícios            
auster               austero              
austeritate          austeridade          
austral              austral              
austru               austru               
autentic             autêntico            
autism               autismo              
autoare              autora               
autobiografie        autobiografia        
autoclavă            autoclave            
autocrat             autocrata            
autocrație           autocracia           
autodidact           autodidata           
autofagie            autofágica           
autogamie            autogamia            
autogeneză           autogênese           
autograf             autógrafo            
autohton             autóctone            
autoliză             autólise             
automat              automático           
automobilism         automobilismo        
autonom              autônomo             
autonomism           autonomismo          
autonomist           autonomista          
autor                autor                
autoritarism         autoritarismo        
autoritate           autoridade           
autoterapie          autoterapie          
autotomie            autotomy             
autumnal             outonal              
auxiliar             auxiliar             
auxiliu              auxiliu              
auxină               auxinas              
avans                avançar              
avansa               avançar              
avantaj              vantagem             
avantaja             vantagem             
avantajos            vantajoso            
avariție             avareza              
avatar               avatar               
avenida              avenida              
aventură             aventura             
aventurin            aventurina           
aventurină           aventurina           
aversiune            aversão              
aviație              aviação              
avid                 ávido                
avion                avião                
avionetă             avioneta             
avirulent            avirulent            
avocat               advogado             
avocată              advogado             
avort                aborto               
avorta               abortar              
avulsiune            avulsão              
avunculat            avunculat            
ax                   eixo                 
axă                  eixo                 
axial                axial                
axilă                axila                
axiologie            axiologia            
axiomă               axioma               
axis                 eixo                 
axunge               axunge               
axungie              axungie              
azalee               azaléa               
azil                 asilo                
azimut               azimute              
azotemie             azotemia             
babilonic            babilônico           
babuin               babuíno              
bacă                 baga                 
bacanal              bacanal              
bacanală             bacanal              
bacanale             bacanal              
bacantă              bacante              
bacante              bacante              
bacara               bacará               
bacifer              baga                 
bacil                bacilo               
bacon                bacon                
bacterie             bactéria             
bacterioliză         bacterioliză         
bacteriologic        bacteriológica       
bacteriologie        bacteriologia        
bacteriostatic       bacteriostático      
badminton            badminton            
bagaj                bagagem              
bagatelă             bagatela             
baie                 banheiro             
baionetă             baioneta             
baladă               balada               
balast               lastro               
balata               balata               
balerină             bailarina            
balet                balé                 
balistă              ballista             
balnear              balneário            
balneoterapie        balneoterapia        
balon                balão                
balotaj              ballotage            
balsam               bálsamo              
balsamină            balsamina            
balustru             balaustrada          
banaliza             banalizar            
banalizare           banalização          
banchet              banquete             
banda                banda                
bandaj               bandagem             
bandit               bandido              
bar                  bar                  
baraj                barragem             
barbar               bárbaro              
barbarie             barbárie             
barbiturism          barbiturism          
barcarolă            barcarola            
bard                 bardo                
baricentru           baricentro           
barisferă            barisferă            
bariu                bário                
barometru            barômetro            
baron                barão                
baronet              baronete             
baroscop             baroscópio           
baset                bassê                
basidiomicetă        basidiomicetos       
bastion              bastião              
batalion             batalhão             
baterie              bateria              
batimetru            batimetru            
batiscaf             batiscafo            
batisferă            batisferă            
batologie            batologie            
bazar                bazar                
bazofil              basófilos            
beat                 bêbado               
beatific             beatífico            
beatifica            beatificar           
beeper               beeper               
begonie              begônia              
bej                  bege                 
beladonă             beladona             
belemnit             belemnites           
belicism             belicism             
belicist             belicist             
belicos              belicoso             
