COGNATE PAIRS

ROMANIAN             ITALIAN              
emanațiune           emanazione           
emancipa             emancipare           
emancipație          emancipazione        
emancipațiune        emancipazione        
embargo              embargo              
embolus              embolo               
embrion              embrione             
emenagog             emmenagogo           
emerge               emergere             
emetic               emetico              
emfizem              enfisema             
emigra               emigrare             
emisar               emissario            
emisferă             emisfero             
emistih              emistichio           
emolient             emolliente           
emulație             emulazione           
emulațiune           emulazione           
emulsie              emulsione            
emulsiona            emulsionare          
enantem              enantema             
encefal              encefalo             
enciclopedism        enciclopedismo       
enciclopedist        enciclopedista       
endecasilab          endecasillabo        
energumen            energumeno           
enoftalmie           enoftalmo            
enormitate           enormità             
ensiform             ensiforme            
enterită             enterite             
enucleare            enucleare            
enumera              enumerare            
enumerație           enumerazione         
enumerațiune         enumerazione         
epic                 epico                
epică                epico                
epicleză             epiclesi             
epidermă             epidermide           
epididim             epididimo            
epigramă             epigramma            
epigramatic          epigrammatico        
epilepsie            epilessia            
epileptic            epilettico           
episcopal            episcopale           
episcopat            episcopato           
episod               episodio             
epistolar            epistolare           
epitaf               epitaffio            
epitalam             epitalamio           
epitomă              epitome              
eponim               eponimo              
epruvetă             provetta             
erecție              erezione             
eremit               eremita              
erg                  erg                  
eroda                erodere              
eroină               eroina               
erou                 eroe                 
eroziune             erosione             
erupție              eruzione             
eșarfă               sciarpa              
escară               escara               
escatologie          escatologia          
esofag               esofago              
ester                estere               
estuar               estuario             
eter                 etere                
eternitate           eternità             
eteroclit            eteroclito           
etic                 etica                
etică                etica                
etimologie           etimologia           
etiolare             eziolamento          
etologie             etologia             
etos                 ethos                
eufonie              eufonia              
euforie              euforia              
euharistie           eucaristia           
euristică            euristico            
evacua               evacuare             
evangelist           evangelista          
evangheliza          evangelizzare        
evapora              evaporare            
evaziune             evasione             
eversiune            eversione            
evirare              evirare              
evita                evitare              
evitabil             evitabile            
evoca                evocare              
ex                   ex                   
exacerba             esacerbare           
exagera              esagerare            
exaltație            esaltazione          
exaltațiune          esaltazione          
examen               esame                
examinator           esaminatore          
exarh                esarca               
exaspera             esasperare           
excava               scavare              
excepție             eccezione            
excerpta             excerpta             
excitabil            eccitabile           
exclama              esclamare            
exclamație           esclamazione         
exclamațiune         esclamazione         
exclude              escludere            
excluziune           esclusione           
excomunica           scomunicare          
excomunicare         scomunica            
excrescență          escrescenza          
excreție             escrezione           
excrețiune           escretore            
execrabil            esecrabile           
exemplu              esempio              
exercita             esercitare           
exercitare           esercitare           
exhaustiv            esaustivo            
exhiba               esibire              
exil                 esilio               
exod                 esodo                
exorcism             esorcismo            
exorcist             esorcista            
exordiu              esordio              
exotism              esotismo             
expansiune           espansione           
expediție            spedizione           
experiență           esperienza           
experiment           esperimento          
expert               esperto              
expertă              esperto              
expia                espiare              
expiator             espiatorio           
explica              spiegare             
explora              esplorare            
expoziție            esposizione          
expozițiune          esposizione          
expulsie             espulsione           
extensiune           estensione           
extermina            sterminare           
extern               esterno              
externa              esterno              
externalitate        esternalità          
extincție            estinzione           
extorca              estorcere            
extorsiune           estorsione           
extracție            estrazione           
extrage              estrarre             
extras               estrarre             
extremism            estremismo           
extremist            estremista           
extremum             estremo              
extruda              estrudere            
exuberanță           esuberanza           
fabricator           fabbricatore         
fabulă               favola               
fachir               fachiro              
facțiune             fazione              
factor               fattore              
facultate            facoltà              
falangă              falange              
falanster            falansterio          
falarică             falarică             
falus                fallo                
familiar             familiare            
familiaritate        familiarità          
familiariza          familiarizzare       
fanatism             fanatismo            
fandango             fandango             
fantasmagorie        fantasmagoria        
farandolă            farandola            
fasciculă            fascicolo            
fascinație           fascinazione         
fascinațiune         fascinazione         
fatalism             fatalismo            
fatalist             fatalista            
faun                 fauno                
fauvism              fauvismo             
febril               febbrile             
feculă               fecola               
fecunditate          fecondità            
federal              federale             
federalism           federalismo          
federalist           federalista          
federație            federazione          
federativ            federativo           
felah                fellah               
feldmareșal          feldmaresciallo      
feldspat             feldspato            
feminism             femminismo           
feminist             femminista           
fermenta             fermentare           
fermentare           fermentare           
fermentație          fermentazione        
fermentațiune        fermentazione        
fero                 ferro                
festival             festival             
festivitate          festività            
fetid                fetido               
fetișism             feticismo            
fetișist             feticista            
fibră                fibra                
fibulă               fibula               
ficțiune             finzione             
fideism              fideismo             
fideist              fideista             
fidelitate           fedeltà              
fiduciar             fiduciario           
filament             filamento            
filandră             filandra             
filantroapă          filantropo           
filantrop            filantropo           
filantropie          filantropia          
filatelie            filatelia            
filial               filiale              
filiație             filiazione           
filiațiune           filiazione           
filosoafă            filosofo             
filosof              filosofo             
filozoafă            filosofo             
filozof              filosofo             
filozofa             filosofare           
filozofare           filosofare           
filozofic            filosofico           
finalism             finalismo            
fisil                fissile              
fistulos             fistoloso            
fizic                fisico               
fizică               fisica               
flaccid              flaccido             
flagel               flagello             
flagrant             flagrante            
flamenco             flamenco             
flatulență           flatulenza           
flatus               flatus               
flexibil             flessibile           
floem                floema               
flota                flotta               
fluctua              fluttuare            
fluctuație           fluttuazione         
fluctuațiune         fluttuazione         
fluid                fluido               
fluor                fluoro               
fluoro               fluoro               
fluxiune             flusso               
foliațiune           foliazione           
fon                  fon                  
fonațiune            fonazione            
fond                 sfondo               
fonem                fonema               
fonetic              fonetico             
foramen              forame               
formic               formico              
fornicație           fornicazione         
fornix               fornice              
fortificație         fortificazione       
fortuit              fortuito             
fosfat               fosfato              
fosfatare            fosfato              
fosfit               fosfito              
fosgen               fosgene              
fosil                fossile              
fosilă               fossile              
fotogramă            fotogramma           
fovism               fauvismo             
fox                  fox                  
fractal              frattale             
fracție              frazione             
