COGNATE PAIRS

ROMANIAN             SPANISH              
agonale              agonal               
agonie               agonía               
agregație            agregación           
agregațiune          agregación           
agresiune            agresión             
agresiv              agresivo             
agresor              agresor              
agricol              agrícola             
agricola             agrícola             
agricultoare         agricultor           
agricultor           agricultor           
agricultură          agricultura          
agro                 agro                 
airbag               airbag               
airbus               aerobús              
aisberg              iceberg              
alarmă               alarma               
albatros             albatros             
albedo               albedo               
albugo               albugo               
album                álbum                
albumen              albumen              
albumină             albúmina             
aleatoriu            aleatorio            
alegație             alegación            
alegoric             alegórico            
alegorie             alegoría             
algă                 alga                 
alias                alias                
aliment              alimento             
allegretto           alegreto             
allegro              alegro               
aloe                 áloe                 
alopecie             alopecia             
alpin                alpino               
altar                altar                
altera               alterar              
alteritate           alteridad            
alternativă          alternativa          
altul                otro                 
altitudine           altitud              
altruism             altruismo            
aluminiu             aluminio             
alveolă              alveolo              
amabilitate          amabilidad           
amalgam              amalgama             
ambasadă             embajada             
ambii                ambos                
ambiant              ambiente             
ambidextru           ambidextro           
ambient              ambiente             
ambiguu              ambiguo              
ambiguitate          ambigüedad           
ambiție              ambición             
ambițios             ambicioso            
ambițiune            ambición             
ambră                ámbar                
amenitate            amenidad             
ament                amento               
ametist              amatista             
amfibol              anfíbol              
amfibologie          anfibología          
amfiteatru           anfiteatro           
amforă               ánfora               
amic                 amigo                
amiciție             amistad              
amiral               almirante            
amor                 amor                 
amplificator         amplificador         
amplitudine          amplitud             
ampulă               ampolla              
amputa               amputar              
amputație            amputación           
amputațiune          amputación           
amulet               amuleto              
amuletă              amuleto              
anabaptism           anabaptismo          
anafilaxie           anafilaxia           
anaforă              anáfora              
anahoret             anacoreta            
anahoretă            anacoreta            
analecte             analectas            
analfabet            analfabeto           
analog               análogo              
analogie             analogía             
anapest              anapesto             
anatemă              anatema              
anatomie             anatomía             
ancoră               ancla                
andante              andante              
andantino            andantino            
anecdotă             anécdota             
anelid               anélidos             
anelidă              anélidos             
aneroid              aneroide             
anex                 anexo                
anexă                anexo                
anexiune             anexión              
anghilă              anguila              
anghină              angina               
angină               angina               
anglican             anglicano            
anglofon             anglófona            
angular              angular              
anima                animar               
animalitate          animalidad           
animație             animación            
animațiune           animación            
animator             animación            
animozitate          animosidad           
anison               anís                 
aniversar            aniversario          
aniversară           aniversario          
aniversare           aniversario          
annona               anona                
anomalie             anomalía             
antarctic            antártico            
antecedent           antecedente          
antemeridian         antemeridiano        
antenă               antena               
anterior             anterior             
antic                antiguo              
antică               antiguo              
anticar              anticuario           
antichitate          antigüedad           
anticipa             anticiparse          
anticipație          anticipación         
anticipațiune        anticipación         
antidot              antídoto             
antilopă             antílope             
antimoniu            antimonio            
antinomie            antinomia            
antipatie            antipatía            
antipod              antípoda             
antirabic            rabia                
antiscian            antiscio             
antisepsie           antisepsia           
antistrofă           antistrofa           
antricot             entrecot             
anuală               anual                
anular               anular               
anunța               anunciar             
anunțare             anunciando           
anus                 ano                  
anxietate            ansiedad             
aparență             apariencia           
apartament           apartamento          
apatie               apatía               
apeduct              acueducto            
apendice             apéndice             
apendicular          apendicular          
aperitiv             aperitivo            
apertură             abertura             
apetit               apetito              
apetiție             apetito              
apetițiune           apetito              
apex                 ápice                
apicultoare          apicultor            
apicultor            apicultor            
apicultură           apicultura           
aplauda              aplaudir             
aplaudare            aplaudir             
aplauze              aplausos             
aplică               aplicar              
aplicație            aplicación           
aplicațiune          aplicación           
apocopă              apócope              
apodictic            apodíctico           
apogiatură           apoyatura            
apolog               apólogo              
apologetic           apologético          
apologetică          apologética          
apoplectic           apoplético           
apoplexie            apoplejía            
apostat              apóstata             
apostazie            apostasía            
apostolat            apostolado           
apostolic            apostólico           
apostrof             apóstrofe            
apostrofă            apóstrofe            
apoteoză             apoteosis            
apoziție             aposición            
apozițiune           aposición            
aprecia              apreciar             
apreciat             apreciado            
aprehenda            aprehenda            
april                abril                
aproba               aprobar              
apropria             apropiado            
apropriat            apropiado            
aptitudine           aptitud              
arab                 árabe                
arabă                árabe                
arbitra              arbitrar             
arbitral             arbitral             
arbitrar             arbitrario           
arbitru              árbitro              
arborescent          arborescente         
arbust               arbusto              
arc                  arco                 
arcane               arcano               
archebuză            arcabuz              
archivoltă           archivolta           
arcosolium           arcosolio            
arctic               ártico               
ardent               ardiente             
ardere               ardor                
ardoare              ardor                
arenă                arena                
areolă               areola               
argentifer           argentífero          
argilos              arcilloso            
argot                argot                
argument             argumento            
argumentație         argumentación        
arhitect             arquitecto           
arhitectă            arquitecto           
arhitectonic         arquitectónico       
arhitectură          arquitectura         
arhitravă            arquitrabe           
arhivă               archivo              
arhivoltă            arquivoltas          
arhonte              arconte              
arid                 árido                
aristă               arista               
aritmetică           aritmética           
arlechin             arlequín             
armătură             armadura             
armiger              armígero             
armonie              armonía              
armonic              armónico             
armură               armadura             
arnică               árnica               
arogant              arrogante            
aroganță             arrogancia           
arpegiu              arpegio              
arsenic              arsénico             
artă                 arte                 
arțar                arce                 
arteră               arteria              
articol              artículo             
articula             articular            
articular            articular            
articulat            articular            
artificial           artificial           
artificiu            artificio            
artilerie            artillería           
artizan              artesano             
artrită              artritis             
artritic             artrítico            
as                   as                   
asalt                asalto               
ascendent            ascendente           
ascensiune           ascenso              
asesor               asesor               
asfalt               asfalto              
asiatic              asiático             
asiduitate           asiduidad            
asimila              asimilar             
asimilație           asimilación          
asimilațiune         asimilación          
asistent             asistente            
asocia               asociar              
asociat              asociar              
aspect               aspecto              
aspersiune           aspersor             
aspira               aspirar              
aspirat              aspirar              
ăsta                 este                 
astmă                asma                 
astmatic             asmático             
astragal             astrágalo            
astral               astral               
astrofizic           astrofísica          
astrofizică          astrofísica          
astrolog             astrólogo            
astrologă            astrología           
astrologic           astrológico          
astrologie           astrología           
astronautică         astronáutica         
astronom             astrónomo            
astronomă            astronomía           
astronomic           astronómico          
astronomie           astronomía           
astuție              astuto               
asuda                sudar                
asuma                asumir               
asumpție             asunción             
asumpțiune           asunción             
atavism              atavismo             
ateu                 ateo                 
atelier              taller               
ateneu               ateneo               
atenție              atención             
atenuat              atenuar              
atestațiune          atestación           
atic                 ático                
aticism              aticismo             
atlet                atleta               
atletă               atleta               
atletic              atlético             
atom                 átomo                
atotputernicie       omnipotencia         
atracție             atracción            
atracțiune           atracción            
atractiv             atractivo            
atribut              atributo             
atribuție            atribución           
atribuțiune          atribución           
atriu                atrio                
atrium               atrio                
atroce               atroz                
atrocitate           atrocidad            
atrofie              atrofia              
auctorial            autor                
audibil              audible              
audiție              audición             
audițiune            auditor              
auditor              auditor              
augmenta             aumentar             
augmentare           aumento              
august               agosto               
augusta              augusta              
augustal             agosto               
aură                 aura                 
auricular            auricular            
aurifer              aurífero             
auscultație          auscultación         
auscultațiune        auscultación         
auspiciu             auspicios            
auster               austero              
austeritate          austeridad           
austral              austral              
autentic             auténtico            
autoare              autora               
autobuz              autobús              
autograf             autógrafo            
autonomie            autonomía            
autor                autor                
autoritate           autoridad            
auxiliar             auxiliar             
auxină               auxina               
avalanșă             avalancha            
avar                 avaro                
avariție             avaricia             
avatar               avatar               
aventură             aventura             
aversiune            aversión             
avicultoare          avicultor            
avicultor            avicultor            
avicultură           avicultura           
avid                 ávido                
avocat               abogado              
avocată              abogado              
avort                aborto               
avorta               abortar              
avulsiune            avulsión             
ax                   eje                  
axă                  eje                  
axial                axial                
axilă                axila                
axiologie            axiología            
axiomă               axioma               
axis                 eje                  
azurat               azur                 
azuriu               azur                 
babilonic            babilónico           
babuin               babuino              
bacanal              bacanal              
bacanale             bacanal              
bacantă              bacante              
bacante              bacante              
bacil                bacilo               
badminton            bádminton            
bahic                báquico              
baiaderă             bayadera             
baionetă             bayoneta             
balast               lastre               
balcon               balcón               
balistă              balista              
balnear              balneario            
balneoterapie        balneoterapia        
balsam               bálsamo              
balustru             balaustre            
banc                 banco                
banchet              banquete             
bantustan            bantustanes          
bar                  bar                  
barbă                barba                
barbar               bárbaro              
barbarie             barbarie             
barcarolă            barcarola            
baricadă             barricada            
baricadare           barricada            
baricada             barricada            
barman               barman               
bastion              bastión              
baterie              batería              
batist               batista              
bazalt               basalto              
bazilică             basílica             
beatific             beatífico            
beatifica            beatificar           
beduin               beduino              
begonie              begonia              
behaviorism          behaviorismo         
beladonă             belladona            
belicos              belicoso             
beligerant           beligerante          
beneficiar           beneficiario         
beneficiară          beneficiario         
benevolență          benevolencia         
benign               benigno              
bergamotă            bergamota            
beril                berilo               
bermă                berma                
beșamel              besamel              
bestial              bestial              
bestiar              bestiario            
bestie               bestia               
bi                   bi                   
bibliotecă           biblioteca           
bicameral            bicameral            
biceps               bíceps               
bideu                bidé                 
bienal               bienal               
bienală              bienal               
bigam                bígamo               
bilă                 bilis                
bilet                billete              
biliard              billar               
bilingv              bilingüe             
bilion               billón               
bilios               bilioso              
binar                binario              
binefăcător          benefactor           
bingo                bingo                
binocular            binocular            
biochimie            bioquímica           
biofizic             biofísico            
biofizică            biofísica            
biomecanic           biomecánica          
biomecanică          biomecánica          
bipartiție           bipartición          
birocrație           burocracia           
bis                  bis                  
bit                  bit                  
bitum                betún                
bitumen              betún                
bituminos            bituminoso           
biuretă              bureta               
bivol                búfalo               
bizantin             bizantino            
bizon                bisonte              
blasfemia            blasfemia            
blasfemie            blasfemia            
blazon               blasón               
bloca                bloquear             
blocare              bloquear             
bluză                blusa                
bluza                blusa                
boa                  boa                  
bobină               bobina               
bobina               bobina               
boltă                bóveda               
bompres              bauprés              
borax                bórax                
boreal               boreal               
botulism             botulismo            
bovin                bovino               
bovină               bovino               
bractee              brácteas             
bracteie             brácteas             
brahial              braquial             
branhie              branquia             
breșă                brecha               
bridă                brida                
brigadă              brigada              
briză                brisa                
brocart              brocado              
bronhie              bronquio             
bronz                bronce               
broșă                broche               
broșare              brochado             
brut                 bruto                
brută                bruto                
brutal               brutal               
bucale               boca                 
buclă                bucle                
bucolic              bucólico             
bucolică             bucólico             
budincă              pudín                
bufet                bufé                 
bufon                bufón                
bufona               bufón                
bulbo                bulbo                
bulină               bolina               
buncăr               búnker               
burg                 burgo                
burin                buril                
busolă               brújula              
bust                 busto                
butelie              botella              
cabalină             caballo              
cabină               cabina               
cabinet              gabinete             
cabriolă             cabriola             
cabriolet            cabriolé             
cabrioletă           cabriolé             
căca                 cagando              
cadență              cadencia             
cadet                cadete               
cadrilater           cuadrilátero         
caduc                caduco               
caduceu              caduceo              
caiet                cuaderno             
calcaneu             calcáneo             
calcula              calcular             
calendar             calendario           
calibru              calibre              
caliciu              cáliz                
calico               calicó               
califica             calificar            
caligramă            caligramas           
calitativ            cualitativo          
calomnia             calumnia             
calomniator          calumniador          
calomnios            calumnioso           
calorific            calorífico           
calorimetru          calorímetro          
calos                calloso              
calvar               calvario             
calviție             calvicie             
camfor               alcanfor             
cămilă               camello              
camion               camión               
câmp                 campo                
campană              campaña              
campioană            campeón              
campion              campeón              
campus               campus               
camuflare            camuflar             
canal                canal                
canale               canales              
cancan               cancán               
cancer               cáncer               
când                 cuando               
candidat             candidato            
candidată            candidato            
caneforă             canéfora             
cangrenă             gangrena             
cangur               canguro              
canicular            canicular            
canin                canino               
caniș                caniche              
canonic              canónico             
canoniza             canonizar            
cantabile            cantabile            
cantată              cantata              
cantilenă            cantilena            
cantină              cantina              
cantitate            cantidad             
cantor               cantor               
cantus               canto                
canulă               cánula               
caolin               caolín               
capă                 capa                 
capacitate           capacidad            
căpățână             cabeza               
cape                 capa                 
caperă               alcaparra            
capilar              capilar              
capital              capital              
capitală             capital              
capitație            capitación           
capitațiune          capitación           
capitol              capítulo             
capotă               capó                 
capotare             capotare             
capote               capó                 
capriciu             capricho             
caprin               caprina              
caprină              cabras               
capsulă              cápsula              
captiv               cautivo              
captiva              cautivar             
caracter             carácter             
carat                quilate              
carate               quilate              
caravană             caravana             
carbon               carbono              
carbonifer           carbonífero          
cardan               cardán               
cardinal             cardinal             
cardinale            cardinal             
carie                caries               
caricatură           caricatura           
carilon              carillón             
caritate             caridad              
carlingă             carlinga             
carnal               carnal               
carnaval             carnaval             
carnivor             carnívoro            
cărnos               carnoso              
carp                 carpo                
cartă                carta                
carte                libro                
cartilaj             cartílago            
cartular             cartulario           
carusel              carrusel             
cascadă              cascada              
caseină              caseína              
cașet                caché                
cast                 casto                
castel               castillo             
castelan             castellano           
castelană            castellano           
castitate            castidad             
castor               castor               
castra               castrar              
castrație            castradora           
castrațiune          castradora           
cataclism            cataclismo           
catalepsie           catalepsia           
cataleptic           cataléptico          
catalog              catálogo             
catamaran            catamarán            
cataplasmă           cataplasma           
catar                catarro              
cataractă            catarata             
catastrofă           catástrofe           
categorie            categoría            
catenă               cadena               
catetă               cateto               
cateter              catéter              
catolic              católico             
caud                 caudal               
cauda                cauda                
caudal               caudal               
caustic              cáustico             
caustică             cáustico             
cautelă              cautela              
cauză                causar               
cauzal               causal               
cauza                causar               
cavă                 cava                 
cavernă              caverna              
cavernos             cavernoso            
cavitate             cavidad              
cavitație            cavitación           
cazeină              caseína              
cazinou              casino               
cazual               casual               
cedru                cedro                
cefalic              cefálica             
celebra              celebrar             
celebritate          celebridad           
celeritate           celeridad            
celest               celeste              
celibat              celibato             
cella                cella                
celofan              celofán              
celul                célula               
celulă               célula               
celulită             celulitis            
celuloid             celuloide            
cement               cemento              
cenobit              cenobitas            
cenotaf              cenotafio            
cens                 censo                
centaur              centauro             
centenar             centenario           
central              central              
centru               centro               
centri               centros              
centurion            centurión            
cenzură              censura              
cereal               cereal               
cereală              cereal               
cerebel              cerebelo             
cerebro              cerebro              
ceremonie            ceremonia            
certifica            certificar           
cervical             cervical             
cervix               cerviz               
cesiu                cesio                
cetacee              cetáceos             
cezură               cesura               
chestor              cuestor              
chil                 quilo                
chilă                quilla               
chintet              quinteto             
chioșc               quiosco              
chirurgie            cirugía              
cibernetică          cibernética          
cicatrice            cicatriz             
cicerone             cicerone             
ciclic               cíclico              
ciclism              ciclismo             
ciclist              ciclista             
ciclu                ciclo                
cidru                sidra                
cilindri             cilindros            
cilindru             cilindro             
cimitir              cementerio           
cîmp                 campo                
cimpanzeu            chimpancé            
cinabru              cinabrio             
cincinal             quinquenal           
cineast              cineasta             
cinerar              cinerario            
cinerară             cinerario            
cineraria            cineraria            
cingulo              cíngulo              
cingulum             cíngulo              
cinic                cínico               
cinism               cinismo              
cioară               cuervo               
cip                  chip                 
circ                 circo                
circuit              circuito             
circula              circular             
circular             circular             
circulară            circular             
circulator           circulatorio         
circulatoriŭ         circulatorio         
circumcide           circuncidar          
circumcizie          circuncisión         
circumciziune        circuncisión         
circumferență        circunferencia       
circumferință        circunferencia       
circumflex           circunflejo          
circumscrie          circunscribir        
circumspect          circunspecto         
circumspecție        circunspección       
circumspecțiune      circunspección       
circumstanță         circunstancia        
cirrus               cirro                
cirus                cirro                
cis                  cis                  
cisalpin             cisalpino            
cistă                cista                
cită                 citado               
citadelă             ciudadela            
cita                 citar                
citat                citar                
citație              citación             
citrin               citrino              
civic                cívico               
civil                civil                
civilitate           civilidad            
clan                 clan                 
clandestin           clandestino          
clapon               capón                
claritate            claridad             
clasă                clase                
clasic               clásico              
claudicație          claudicación         
claustr              claustro             
claustra             claustro             
claustrofobie        claustrofobia        
claustru             claustro             
clavar               clavar               
claviculă            clavícula            
clement              clemente             
clemență             clemencia            
cler                 clero                
cleric               clérigo              
clerical             clerical             
client               cliente              
clientă              cliente              
clientelă            clientela            
climă                clima                
clinic               clínico              
clinică              clínica              
cliper               clíper               
clișeu               cliché               
clistron             klystron             
cloacă               cloaca               
clorofilă            clorofila            
club                 club                 
coabita              cohabitar            
coagula              coagular             
coagulat             coagulada            
coaliție             coalición            
coalițiune           coalición            
coarctație           coartación           
cobalt               cobalto              
coccix               cóccix               
cocs                 coque                
coda                 coda                 
codex                códice               
codicil              codicilo             
coerent              coherente            
coerență             coherencia           
coetern              coeterno             
coeziune             cohesión             
cognațiune           cognación            
cogniție             cognición            
cognoscibil          conocible            
cohlee               cóclea               
cohortă              cohorte              
colabora             colaborar            
colaps               colapso              
colateral            colateral            
colaterală           colateral            
colațiune            colación             
colecție             colección            
colecțiune           colección            
colectiv             colectivo            
colectivă            colectivo            
coleg                colega               
colegă               colega               
colegiu              colegio              
colesterol           colesterol           
colică               cólico               
colină               colina               
coliziune            colisión             
coloană              columna              
colocviu             coloquio             
colofon              colofón              
colonel              coronel              
color                color                
colos                coloso               
colostru             calostro             
columnă              columna              
coluziune            colusión             
comă                 coma                 
combina              combinar             
combină              combinar             
combinație           combinación          
combinațiune         combinación          
comburant            comburente           
comburent            comburente           
combustie            combustión           
coma                 coma                 
comedie              comedia              
comemora             conmemorar           
comensal             comensal             
comenta              comentario           
comentare            comentario           
comentariu           comentario           
comerț               comercio             
comestibil           comestible           
cometă               cometa               
comic                cómico               
comitat              condado              
comite               cometer              
comitet              comité               
compact              compacto             
compacta             compacto             
compara              comparar             
comparabil           comparable           
comparație           comparación          
comparațiune         comparación          
comparativ           comparativo          
compasiune           compasión            
compatrioată         compatriota          
compatriot           compatriota          
compendiu            compendio            
compensa             compensar            
compensat            compensado           
compensație          compensación         
