COGNATE PAIRS

ROMANIAN             TURKISH              
combinezon           kombinezon           
coma                 koma                 
comedian             komedyen             
comic                komik                
comisar              komiser              
comision             komisyon             
comitet              komite               
comodor              komodor              
compact              kompakt              
compacta             kompakt              
complicare           komplikasyon         
complot              komplo               
compot               komposto             
compoziție           kompozisyon          
compresor            kompresör            
compunere            kompozisyon          
comună               komün                
comunist             komünist             
con                  koni                 
concentrare          konsantrasyon        
concentrat           konsantre            
concert              konser               
concertat            konser               
condensator          kondansatör          
conductor            kondüktör            
confecție            konfeksiyon          
confecțiune          konfeksiyon          
confederație         konfederasyon        
conferință           konferans            
confort              konfor               
congres              kongre               
conjunctivită        konjonktivit         
conjunctură          konjonktür           
conoid               konik                
consiliu             konsey               
consol               konsol               
consolă              konsol               
consorțiu            konsorsiyum          
consul               konsolos             
container            konteyner            
containeriza         konteyner            
containerizat        konteyner            
contrabas            kontrbas             
contrapunct          kontrpuan            
contrast             kontrast             
contrasta            kontrast             
control              kontrol              
controla             kontrol              
controlare           kontrol              
controlat            kontrol              
conul                koni                 
conus                koni                 
convecție            konveksiyon          
convector            konvektör            
convertibil          konvertibl           
cooperativă          kooperatif           
copie                kopyalamak           
cor                  koro                 
coridor              koridor              
cornee               kornea               
corneie              kornea               
cornet               kornet               
cornetă              kornet               
cornișă              korniş               
corodare             korozyon             
coronar              koroner              
coronară             koroner              
coroziune            korozyon             
corset               korse                
cortex               korteks              
cortico              kortikosteroid       
cortizon             kortizon             
corvetă              korvet               
cosmetic             kozmetik             
cosmografie          kozmografi           
cosmonaut            kozmonot             
cosmopolit           kozmopolit           
cracker              kraker               
crampă               kramp                
crampon              krampon              
crater               krater               
cravată              kravat               
credit               kredi                
cremă                krem                 
creozot              kreozot              
creozota             kreozot              
creozotat            kreozot              
crep                 krep                 
creșă                kreş                 
crichet              kriket               
criptonim            kripton              
cristal              kristal              
criteriu             kriter               
criză                kriz                 
crizantemă           krizantem            
croasant             kruvasan             
crochet              kroket               
crochetă             kroket               
crochiu              kroki                
crom                 krom                 
croma                krom                 
cromatic             kromatik             
cromatică            kromatik             
cromo                krom                 
cromozom             kromozom             
crucișător           kruvazör             
crupier              krupiye              
cuantă               kuantum              
cuantor              kuantum              
cuantum              kuantum              
cuarț                kuvars               
cŭartă               kuvars               
cub                  küp                  
cultură              kültür               
cultural             kültürel             
cumulus              kümülüs              
cupon                kupon                
curara               kürar                
curier               kurye                
cuvetă               küvet                
dactilograf          daktilo              
dactilografă         daktilo              
daltonism            daltonizm            
dame                 dama                 
damigeană            damacana             
dans                 dans                 
dansa                dans                 
dantelă              dantel               
dativ                datif                
deca                 deka                 
decatlon             dekatlon             
decibel              desibel              
declarat             deklare              
decolta              dekolte              
decoltat             dekolte              
decolteu             dekolte              
decor                dekor                
deflație             deflasyon            
deformare            deformasyon          
degenera             dejenere             
degenerare           dejenerasyon         
degenerat            dejenere             
deism                deizm                
deist                deist                
delega               delege               
delegat              delege               
delegată             delege               
demagog              demagog              
demagogă             demagog              
democrat             demokrat             
democrație           demokrasi            
demografie           demografi            
deodorant            deodorant            
deplasare            deplasman            
depou                depo                 
depresiune           depresyon            
deprimare            depresyon            
dermă                derma                
descalificare        diskalifiye          
design               dizayn               
despot               despot               
detalia              detay                
detaliu              detay                
detectiv             dedektif             
detector             detektör             
detergent            deterjan             
determinism          determinizm          
determinist          deterministik        
deuteriu             döteryum             
devize               döviz                
di                   di                   
diabet               diyabet              
diafragmă            diyafram             
diagonal             diyagonal            
diagonală            diyagonal            
dialectic            diyalektik           
dializă              diyaliz              
dialog               diyalog              
dialogare            diyalog              
diatonic             diyatonik            
diatonică            diyatonik            
dicta                dikte                
dictare              dikte                
dictat               dikte                
dictatoare           diktatör             
dictator             diktatör             
dicteu               dikte                
dicțiune             diksiyon             
didactic             didaktik             
diesel               dizel                
dietă                diyet                
diferențial          diferansiyel         
diferențială         diferansiyel         
difterie             difteri              
diftero              difteri              
digital              dijital              
digitală             dijital              
dinam                dinamo               
dinamic              dinamik              
dinamică             dinamik              
dinamită             dinamit              
dinamo               dinamo               
dinar                dinar                
dingo                dingo                
dinozaur             dinozor              
diplomă              diploma              
diplomat             diplomat             
diplomatic           diplomatik           
diplomatică          diplomatik           
dipsoman             dipsoman             
disc                 disk                 
dischetă             disket               
disciplină           disiplin             
disciplinare         disiplin             
disciplinat          disiplinli           
discusiune           disk                 
dislexie             disleksi             
dispensar            dispanser            
distrofie            distrofi             
distrugător          destroyer            
dizenterie           dizanteri            
doctor               doktor               
doctoral             doktora              
doctorat             doktora              
doctrină             doktrin              
dodecafonie          dodekafoni           
dogmă                dogma                
dolar                dolar                
dolmen               dolmen               
dolomită             dolomit              
doping               doping               
dosar                dosya                
doză                 doz                  
dozare               dozaj                
doza                 doz                  
dragon               dragon               
dragonul             dragon               
dramă                drama                
dreadnought          dretnot              
drenaj               drenaj               
drom                 drom                 
ducesă               düşes                
duel                 düello               
duet                 düet                 
dumping              damping              
duplex               dubleks              
duș                  duş                  
duzină               düzine               
ebonită              ebonit               
echimoză             ekimoz               
echinocțiu           ekinoks              
echipă               ekip                 
echipament           ekipman              
eclectic             eklektik             
ecler                ekler                
ecliptic             ekliptik             
ecliptică            ekliptik             
ecologie             ekoloji              
economie             ekonomi              
ecran                ekran                
ecuator              ekvator              
eczemă               egzama               
edem                 ödem                 
edițiune             editör               
editor               editör               
elastic              elastik              
electric             elektrik             
electricitate        elektrik             
electro              elektro              
electrocardiograf    elektrokardiyograf   
electroliză          elektroliz           
electron             elektron             
element              eleman               
elicopter            helikopter           
eliminare            eliminasyon          
elipsă               elips                
elipsoid             elipsoid             
email                emaye                
emailat              emaye                
embargo              ambargo              
emblemă              amblem               
embol                emboli               
embrio               embriyo              
embrion              embriyo              
emfizem              anfizem              
empatie              empati               
emulsie              emülsiyon            
emulsiune            emülsiyon            
emulsiv              emülsiyon            
enciclopedie         ansiklopedi          
endo                 endo                 
endoscop             endoskop             
energie              enerji               
entero               entero               
entomologie          entomoloji           
epi                  epi                  
epic                 epik                 
epică                epik                 
epicriză             epikriz              
epididim             epididim             
epilare              epilasyon            
epilepsie            epilepsi             
episcop              piskopos             
epiteliu             epitelyum            
epolet               apolet               
epsilon              epsilon              
erbicid              herbisit             
erbicida             herbisit             
erecție              ereksiyon            
erg                  erg                  
ergonomie            ergonomi             
eritro               eritro               
ermetic              hermetik             
ermină               ermin                
erodare              erozyon              
erotic               erotik               
erotică              erotik               
erotomanie           erotomani            
eroziune             erozyon              
eșarfă               eşarp                
escortă              eskort               
escortare            eskort               
escorta              eskort               
estetic              estetik              
estetică             estetik              
estro                östrojen             
estrogen             östrojen             
eter                 eter                 
eterat               eter                 
eterogen             heterojen            
etic                 etik                 
etichetă             etiket               
etil                 etil                 
etimo                etimolojik           
etimologie           etimoloji            
etio                 etiyoloji            
etiologie            etiyoloji            
etnic                etnik                
etno                 etnik                
eucalipt             okaliptüs            
euforie              öfori                
euro                 euro                 
eutanasie            ötenazi              
excavator            ekskavatör           
excentric            eksantrik            
exercițiu            egzersiz             
exotic               egzotik              
expres               ekspres              
exprima              ekspres              
ezoteric             ezoterik             
fabricator           fabrikatör           
factor               faktör               
factoring            faktoring            
factură              fatura               
facultate            fakülte              
fan                  fan                  
fanatic              fanatik              
fantastic            fantastik            
fantazie             fantezi              
fantezie             fantezi              
faringită            farenjit             
farmaco              farmakolojik         
farmacologie         farmakoloji          
fasciculă            fasikül              
fascism              faşizm               
fatwa                fetva                
favorit              favori               
fax                  faks                 
fază                 faz                  
federal              federal              
federat              federasyon           
federație            federasyon           
federațiune          federal              
felah                fellah               
fenol                fenol                
fenomen              fenomen              
fermoar              fermuar              
feromon              feromon              
festival             festival             
feston               fisto                
fetiș                fetiş                
feudal               feodal               
fibulă               fibula               
filatelie            filateli             
filigran             filigran             
filigrană            filigran             
filigranare          filigran             
filigranat           filigran             
film                 film                 
filma                film                 
filologie            filoloji             
filozoafă            filozof              
filozof              filozof              
filozofie            felsefe              
filtra               filtre               
filtru               filtre               
fiord                fiyort               
fistulă              fistül               
fizică               fizik                
fizio                fizyo                
flanelă              flanel               
flash                flaş                 
flebită              flebit               
flegmă               balgam               
flirt                flört                
flirta               flört                
fluor                fluor                
fluorescent          floresan             
flută                flüt                 
fobie                fobi                 
folclor              folklor              
foliculă             folikül              
folie                folyo                
fondantă             fondan               
fonem                fonem                
fonetic              fonetik              
fonetică             fonetik              
fono                 fono                 
fonograf             fonograf             
for                  forum                
forceps              forseps              
formalitate          formalite            
formulă              formül               
forum                forum                
fosfat               fosfat               
fosfatare            fosfat               
fosfo                fosfor               
fosfor               fosfor               
fosil                fosil                
fosilă               fosil                
fotbal               futbol               
fotografie           fotoğraf             
foton                foton                
foulard              fular                
foxtrot              fokstrot             
frac                 frak                 
fractal              fraktal              
fragment             fragman              
frână                fren                 
franc                frank                
frecvență            frekans              
frenologie           frenoloji            
frescă               fresk                
frez                 freze                
frezare              freze                
frezat               freze                
frînă                fren                 
friză                friz                 
fructoză             fruktoz              
ful                  ful                  
fulard               fular                
funcție              fonksiyon            
funcțiune            fonksiyon            
furnal               fırın                
futurism             fütürizm             
fuziune              füzyon               
gabardină            gabardin             
gafă                 gaf                  
gaiacol              gayakol              
gală                 gala                 
galaxie              galaksi              
galenă               galen                
galon                galon                
galvanizat           galvanize            
gambit               gambit               
gamet                gamet                
ganglion             ganglion             
gangster             gangster             
garaj                garaj                
garant               garantör             
garantare            garanti              
garantat             garanti              
garanție             garanti              
garnisi              garnitür             
garnisire            garnitür             
garnitură            garnitür             
garnizoană           garnizon             
garson               garson               
gastronomie          gastronomi           
gecko                geko                 
gelatină             jelâtin              
genă                 gen                  
generator            jeneratör            
genetic              genetik              
genetică             genetik              
genital              jenital              
geo                  geo                  
geografie            coğrafya             
geologie             jeoloji              
geometrie            geometri             
geriatru             geriatri             
gest                 jest                 
gestă                jest                 
ghetou               getto                
ghilotină            giyotin              
ghilotinare          giyotin              
ghilotina            giyotin              
gigolo               jigolo               
gimnastic            jimnastik            
gimnastică           jimnastik            
gin                  cin                  
gineco               jinekolojik          
giro                 ciro                 
giroscop             jiroskop             
gladiator            gladyatör            
glaucom              glokom               
glicemie             glikoz               
glicerină            gliserin             
glicogen             glikojen             
glucoză              glikoz               
glucozat             glikoz               
gluten               glüten               
gofră                gofret               
gofret               gofret               
golf                 golf                 
gon                  gon                  
gonadotrop           gonadotropik         
gong                 gong                 
goril                goril                
gorilă               goril                
grafic               grafik               
grafică              grafik               
grafit               grafit               
gram                 gram                 
gramă                gram                 
gramofon             gramofon             
grandi               grandi               
granit               granit               
granul               granül               
granulă              granül               
gravare              gravür               
gravură              gravür               
grepfrut             greyfurt             
gresat               gres                 
grevă                grev                 
greva                grev                 
gri                  gri                  
gripă                grip                 
grotesc              grotesk              
grunge               grunge               
grup                 grup                 
grupă                grup                 
grupare              grup                 
guru                 guru                 
gușă                 guatr                
gută                 gut                  
halogen              halojen              
hamac                hamak                
hamster              hamster              
handbal              hentbol              
handicap             handikap             
haos                 kaos                 
harfă                arp                  
harpă                arp                  
hectar               hektar               
hecto                hekto                
hedonism             hedonizm             
hegemon              hegemonik            
hematologie          hematoloji           
hemo                 hemo                 
hemofilie            hemofili             
hemoglobină          hemoglobin           
henț                 hentbol              
hepatită             hepatit              
hermafrodit          hermafrodit          
hermină              ermin                
herminat             ermin                
heroină              eroin                
hertz                hertz                
heterosexual         heteroseksüel        
hidră                hidra                
hidraulic            hidrolik             
hidraulică           hidrolik             
hidrofor             hidrofor             
hidrogen             hidrojen             
hidrografie          hidrografi           
hieroglifă           hiyeroglif           
hiper                hiper                
hiperactiv           hiperaktif           
hipermetrop          hipermetrop          
hipertensiune        hipertansiyon        
hipertrofia          hipertrofi           
hipertrofiere        hipertrofi           
hipnotizare          hipnoz               
hipnotizat           hipnotize            
hipo                 hipo                 
hipoglicemie         hipoglisemi          
hipotalamus          hipotalamus          
histamină            histamin             
histero              histero              
histo                histo                
histogramă           histogram            
histologie           histoloji            
hobby                hobi                 
hochei               hokey                
hormon               hormon               
hortensie            ortanca              
hotel                otel                 
hovercraft           hovercraft           
humus                humus                
iaht                 yat                  
ibis                 ibis                 
ide                  ide                  
ideal                ideal                
idealism             idealizm             
ideogramă            ideogram             
ideologie            ideoloji             
idilă                idil                 
idol                 idol                 
ierarhie             hiyerarşi            
ierbi                herbisit             
iman                 iman                 
împărat              imparator            
impedanță            empedans             
incest               ensest               
încifra              şifrelemek           
index                indeks               
indice               indeks               
inducere             indüksiyon           
inducție             indüksiyon           
industrial           endüstriyel          
infecție             enfeksiyon           
inflație             enflasyon            
injecție             enjeksiyon           
institut             enstitü              
insulină             ensülin              
integral             integral             
integrală            integral             
integrat             entegre              
intelectual          entellektüel         
interactiv           interaktif           
inventar             envanter             
iod                  iyot                 
ipotecă              ipotek               
ipotecare            ipotek               
ipotenuză            hipotenüs            
ipoteză              hipotez              
iredentă             irredantizm          
iredentism           irredantizm          
iris                 iris                 
ischemie             iskemi               
isteric              isterik              
isterie              histeri              
italic               italik               
izolare              izolasyon            
izomer               izomer               
izomorfism           izomorfizm           
izoterm              izotermal            
izotonie             izotonik             
izotop               izotop               
jaguar               jaguar               
jaluzie              jaluzi               
jambon               jambon               
jantă                jant                 
jargon               jargon               
jartieră             jartiyer             
jeleu                jöle                 
jerseu               jarse                
jet                  jet                  
jocheu               jokey                
jogging              jogging              
joker                joker                
joule                jul                  
jupon                jüpon                
juriu                jüri                 
karibu               karibu               
ketchup              ketçap               
kilo                 kilo                 
kiwi                 kivi                 
koala                koala                
kripton              kripton              
labirint             labirent             
laborator            laboratuvar          
lactic               laktik               
lactoză              laktoz               
laic                 laik                 
lamelă               lamel                
laminație            laminasyon           
lanolină             lanolin              
lantan               lantan               
laparoscopie         laparoskopi          
laringită            larenjit             
larvă                larva                
larvi                larva                
laser                lazer                
latex                lateks               
lavă                 lav                  
lavabo               lavabo               
lavaj                lavaj                
leader               lider                
lecitină             lesitin              
legiune              lejyon               
lemurii              lemur                
leopard              leopar               
leucemie             lösemi               
leucocită            lökosit              
liberal              liberal              
libido               libido               
licean               lise                 
licență              lisans               
liceu                lise                 
lichen               liken                
lichior              likör                
lider                lider                
ligă                 lig                  
ligni                linyit               
lignit               linyit               
lila                 lila                 
limfă                lenf                 
limfocită            lenfosit             
limuzină             limuzin              
linotip              linotip              
liric                lirik                
lirică               lirizm               
litic                litik                
litiu                lityum               
litografie           litografi            
litosferă            litosfer             
litru                litre                
lizol                lizol                
lob                  lop                  
lobby                lobi                 
lobul                lobül                
loch                 log                  
locomotor            lokomotif            
logaritm             logaritma            
logistic             lojistik             
logistică            lojistik             
logo                 logo                 
lord                 lord                 
loțiune              losyon               
lotus                lotus                
lumbago              lumbago              
lumen                lümen                
lupus                lupus                
lux                  lüks                 
macac                makak                
machiaj              makyaj               
machiat              makyaj               
machiere             makyaj               
macho                maço                 
macrameu             makrome              
macro                makro                
macrosocial          makro                
madam                madam                
magmă                mağma                
magnetic             manyetik             
magneto              manyeto              
magnetou             manyeto              
magnezit             manyezit             
maioneză             mayonez              
malahit              malakit              
malț                 malt                 
maltoză              maltoz               
mamut                mamut                
mandarin             mandalina            
mandarină            mandalina            
mandat               manda                
mandril              mandril              
manevră              manevra              
manevrare            manevra              
manevra              manevra              
manganez             manganez             
mango                mango                
maniac               manyak               
manichiură           manikür              
manie                mani                 
manometru            manometre            
manșetă              manşet               
mantisă              mantis               
maraton              maraton              
marchiz              marki                
marchize             marki                
mareșal              mareşal              
marginal             marjinal             
marinat              marine               
marmeladă            marmelat             
marș                 marş                 
marșă                marş                 
masaj                masaj                
masare               masaj                
mascotă              maskot               
masochism            mazoşizm             
mason                mason                
masor                masör                
masturbație          mastürbasyon         
matematică           matematik            
materialism          materyalizm          
matineu              matine               
matri                matris               
matrice              matris               
mătrice              matris               
mausoleu             mozole               
maxi                 maksi                
maxim                maksimum             
maximă               maksimum             
maximum              maksimum             
mazut                mazot                
mecanic              mekanik              
mecanică             mekanik              
meci                 maç                  
media                medya                
meditare             meditasyon           
meditație            meditasyon           
meditațiune          meditasyon           
mega                 mega                 
megafon              megafon              
megaloman            megaloman            
melancolie           melankoli            
melasă               melas                
melodramă            melodram             
meningită            menenjit             
meniu                menü                 
menopauză            menopoz              
mercerizat           merserize            
meridian             meridyen             
meridiană            meridyen             
meritocrație         meritokrasi          
mesaj                mesaj                
metabolă             metabolik            
metabolism           metabolizma          
metafizică           metafizik            
metan                metan                
metastază            metastaz             
meteor               meteor               
meteorologie         meteoroloji          
metil                metil                
metresă              metres               
metri                metre                
metro                metro                
metronom             metronom             
metropolă            metropol             
metrou               metro                
metru                metre                
mezo                 mezo                 
micro                mikro                
microb               mikrop               
microcefal           mikrosefali          
microfon             mikrofon             
micron               mikron               
midi                 midi                 
mignonă              minyon               
